,bandwidth,delay,buffer_size,algorithm,bytes_sent,time_elapsed,goodput,retransmits,host_cpu,remote_cpu
60,10,150,100,bbr,12058624,10.000954,9645978.97360592,228,1.441999841733335,0.6163257485349368
61,10,150,100,cubic,3470856,10.00095,2776421.0400012,235,1.4331078472605465,0.1952160976507983
62,10,150,1000,bbr,6979360,10.001042,5582906.261167587,0,1.43639750212407,0.446897127641402
63,10,150,1000,cubic,9885496,10.000222,7908221.237488527,0,1.4441997236279258,0.666152696683938
64,10,150,10000,bbr,7703360,10.000442,6162415.6212295415,0,1.440213139093991,0.418629264572515
65,10,150,10000,cubic,10182336,10.000099,8145788.156697248,0,1.4432655750150027,0.6350033262435935
66,10,150,20000,bbr,6599984,10.001048,5279433.915325673,0,1.438588833249516,0.4307662315265396
67,10,150,20000,cubic,9322224,10.00062,7457316.846355526,0,1.4469854438481804,0.655267435075421
68,10,150,50000,bbr,7377560,10.001038,5901435.431002262,0,1.4393418793245476,0.4587738590668227
69,10,150,50000,cubic,9345392,10.000596,7475868.03826492,0,1.4428693006228757,0.682198619909689
70,10,200,100,bbr,10747904,10.001036,8597432.50599238,315,1.8788858225863605,0.5994878266679194
71,10,200,100,cubic,4300560,10.000086,3440418.4124016534,120,1.8717511264243012,0.2506220328955107
72,10,200,1000,bbr,8912896,10.001036,7129578.175700998,0,1.8722700632301124,0.5286676586040154
73,10,200,1000,cubic,8395504,10.000105,6716332.678506876,0,1.8757030449309942,0.49469681518881065
74,10,200,10000,bbr,9306112,10.001043,7444113.178995431,0,1.875590478583181,0.595299620596802
75,10,200,10000,cubic,8443288,10.000087,6754571.635226773,0,1.9023904216488337,0.5609904787405278
76,10,200,20000,bbr,8650752,10.001051,6919874.32120884,0,1.87649911730862,0.6095204067927702
77,10,200,20000,cubic,7865536,10.000555,6292079.589582778,0,1.8200568111074649,0.5973786235420685
78,10,200,50000,bbr,9437184,10.000771,7549165.159366213,0,1.8809464280309052,0.5142445747197367
79,10,200,50000,cubic,7930696,10.000429,6344284.630189365,0,1.8771555698406481,0.516139435107915
80,20,5,100,bbr,6485592,10.000181,5188379.690327605,21,0.07769571241609617,0.5025116615884112
81,20,5,100,cubic,18414216,10.00014,14731166.56366811,60,0.13710902722242857,1.3885235421469315
82,20,5,1000,bbr,1505920,10.001032,1204611.6840742035,2,0.0662838110547188,0.10384127941860447
83,20,5,1000,cubic,25559040,10.000456,20446299.64873602,32,0.12354159353388826,1.88837093401759
84,20,5,10000,bbr,1831720,10.001035,1465224.3492798496,0,0.06826909798581217,0.13443141453894447
85,20,5,10000,cubic,25690112,10.000223,20551631.298622042,0,0.1092382666397529,1.941650248928789
86,20,5,20000,bbr,1831720,10.001038,1465223.909758167,0,0.06776993026641805,0.11725311568037927
87,20,5,20000,cubic,25559040,10.000309,20446600.20005382,0,0.17507614240550728,1.9266087427799137
88,20,5,50000,bbr,1859232,10.00105,1487229.4409087047,0,0.0678100989951613,0.13926961688227282
89,20,5,50000,cubic,24772608,10.000566,19816964.7597946,0,0.1250708225756527,1.8423850534060568
90,20,10,100,bbr,7913320,10.000367,6330423.673451184,16,0.1340419298293485,0.7100170320421517
91,20,10,100,cubic,17160248,10.000078,13728091.320887696,60,0.14978255138841157,1.5053132481488707
92,20,10,1000,bbr,2118424,10.00073,1694615.493069006,1,0.11978633439974937,0.14768730342468117
93,20,10,1000,cubic,25690112,10.000244,20551588.14124935,33,0.15006819244460576,1.8202535171544854
94,20,10,10000,bbr,2700520,10.001055,2160188.1001554336,0,0.11825291205886934,0.19430925697582924
95,20,10,10000,cubic,25296896,10.000095,20237324.545416817,0,0.1536438376900444,1.91883491598697
96,20,10,20000,bbr,2374720,10.001053,1899575.9746498691,0,0.11856006776226685,0.1590239345353533
97,20,10,20000,cubic,25690112,10.000085,20551914.908723276,0,0.19700693268810293,1.8415808467363282
98,20,10,50000,bbr,1631896,10.001032,1305382.0845688723,0,0.11616053435638252,0.12215419651017002
