,bandwidth,delay,buffer_size,algorithm,bytes_sent,time_elapsed,goodput,retransmits,host_cpu,remote_cpu
156,20,200,20000,bbr,18219008,10.000564,14574384.404719573,0,1.8927334416602042,1.1913204526885004
157,20,200,20000,cubic,9021040,10.000652,7216361.49323064,0,1.8776117153699339,0.6559721574682044
158,20,200,50000,bbr,9043968,10.001037,7234424.190211475,0,1.878349012930056,0.5064485560205044
159,20,200,50000,cubic,18612224,10.000179,14889512.67772307,0,1.8896682300188428,1.1457218838730916
160,50,5,100,bbr,24894016,10.000135,19914943.9482567,102,0.09900871540133355,1.5552709709866464
161,50,5,100,cubic,36776304,10.000073,29420828.427952476,106,0.1323984282626139,1.7538671351550537
162,50,5,1000,cubic,61603840,10.00013,49282431.32839273,33,0.13524103049015168,2.1440892003436773
163,50,5,1000,bbr,2380512,10.001055,1904208.705981519,6,0.06859754196298726,0.141145030576505
164,50,5,10000,cubic,61734912,10.00011,49387386.33875028,0,0.3759715858960064,2.0728458588967253
165,50,5,10000,bbr,1733256,10.001036,1386461.1626235524,0,0.06784936084904296,0.1198171802428281
166,50,5,20000,cubic,61079552,10.000239,48862473.7868765,0,0.16199560222102108,2.113323657730281
167,50,5,20000,bbr,1924392,10.001051,1539351.8141243355,0,0.068696956919375,0.11589473436168238
168,50,5,50000,cubic,61210624,10.000174,48967647.16293937,0,0.14815224306906546,1.7127590557816528
169,50,5,50000,bbr,2522416,10.00104,2017722.9568124916,0,0.07257623173309427,0.1514674106823994
170,50,10,100,cubic,14177368,10.000079,11341804.799742082,156,0.18887906063589482,1.0341514973318222
171,50,10,100,bbr,47779656,10.000097,38223354.03346588,341,0.2662991724807989,2.4849497596920673
172,50,10,1000,cubic,60162048,10.000186,48128743.20537639,28,0.17466731398837312,2.47688971018482
173,50,10,1000,bbr,3926976,10.001067,3141245.6290913755,0,0.12188453809992161,0.25786149627326277
174,50,10,10000,bbr,3595384,10.00104,2876008.095158104,0,0.1239926715670923,0.1982414714489889
175,50,10,10000,cubic,60162048,10.000152,48128906.840616025,0,0.28018088920362,2.193043562892514
176,50,10,20000,cubic,59637760,10.000127,47709602.08805348,0,0.18057430036919536,1.9497183305220864
177,50,10,20000,bbr,4810256,10.001041,3847804.243578243,0,0.12098848488360908,0.2337429169892514
178,50,10,50000,cubic,60030976,10.000205,48023796.3121756,0,0.1995128397178139,2.3554171044546086
179,50,10,50000,bbr,3323160,10.001089,2658238.517825409,0,0.11886881342196895,0.19732300340982037
180,50,25,100,cubic,8593880,10.000584,6874702.517372985,388,0.280643321758974,0.5017862714345347
181,50,25,100,bbr,56229888,10.000073,44983582.01985125,1244,0.3292402765028325,2.27128044206013
182,50,25,1000,cubic,55443456,10.000243,44353687.00540577,21,0.32083576469470265,2.036071816102896
183,50,25,1000,bbr,9138328,10.001053,7309892.6683020275,2,0.27505111118194076,0.4555856517127122
184,50,25,10000,bbr,6466768,10.001038,5172877.4553201385,0,0.273230534588711,0.3045723390191969
185,50,25,10000,cubic,58720256,10.000128,46975603.51227504,0,0.33998948075872776,2.440574068672415
186,50,25,20000,cubic,58458112,10.000241,46765362.55476242,0,0.35601692258394,2.1282381971066275
187,50,25,20000,bbr,5243208,10.001031,4194133.9847861687,0,0.268383922542933,0.25532216761041926
188,50,25,50000,bbr,6329208,10.001045,5062837.33349865,0,0.2699705500171101,0.31715012820482014
189,50,25,50000,cubic,59113472,10.000078,47290408.734811865,0,0.32537579781022985,2.3382455518898593
190,50,50,100,bbr,52690944,10.000142,42152156.63937572,1243,0.6820100382718426,2.200574218536677
191,50,50,100,cubic,11308880,10.000482,9046667.95060478,279,0.5224197548338138,0.5573677941137856
192,50,50,1000,cubic,48758784,10.000075,39006734.649490125,15,0.5718670279283852,2.44806250136792
193,50,50,1000,bbr,16908288,10.00103,13525237.300558042,2,0.527011572887945,1.0907545682002524
194,50,50,10000,bbr,14680064,10.001044,11742825.249044,0,0.5254704123099626,0.9103859992723786
195,50,50,10000,cubic,50593792,10.000116,40474564.0950565,0,0.6654906166440582,2.20404324891997
196,50,50,20000,cubic,50724864,10.00019,40579120.196716264,0,0.579468291947105,2.349445659757291
197,50,50,20000,bbr,14680064,10.000504,11743459.329649786,0,0.5282048884533247,0.803314413571784
198,50,50,50000,cubic,49807360,10.000226,39844987.50328243,0,0.5687516122633158,2.568956078379751
199,50,50,50000,bbr,14286848,10.001029,11428302.42768019,0,0.5270065368137666,0.8978357714374358
200,50,75,100,bbr,55312384,10.000183,44249097.441516824,1325,1.0324364811823723,2.3114783272046657
201,50,75,100,cubic,7005424,10.001038,5603757.52996839,228,0.7656254624909806,0.3302532063649341
202,50,75,1000,bbr,24772608,10.000369,19817355.139595352,42,0.7838017919823278,1.5993685409748
203,50,75,1000,cubic,39190528,10.000334,31351375.26406618,132,0.7977184859169968,2.191067959485457
204,50,75,10000,bbr,15597568,10.000442,12477502.894372068,0,0.764286386813029,0.8834139713278155
205,50,75,10000,cubic,49283072,10.000135,39425925.35000777,0,0.8151223528034518,2.267576744505726
206,50,75,20000,bbr,15597568,10.001036,12476761.807476746,0,0.8205249348621044,0.867508342045605
