,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu
0,1000,200,10000,bbr,858390528,858390528,0.0,60.000098,114451883.46192367,0,0.5051832519726774,0.9930282128782855
1,1000,200,10000,cubic,896794624,896793224,1.5611155135559778e-06,60.000142,119572333.54547729,0,0.5991139332734552,0.45453126704986435
2,1000,200,1000,bbr,867565568,866775848,0.0009102712568694289,60.000087,115675241.33756673,0,0.508658122042654,1.0875488745999455
3,1000,200,1000,cubic,892731392,892731392,0.0,60.000115,119030624.1246371,259,0.545410772356166,0.5490446237169915
4,1000,200,100,bbr,756154368,754875504,0.0016912737056357255,60.000081,100820446.2923975,26,0.48404385180132675,1.6473628325957694
5,1000,200,100,cubic,511311872,510346552,0.0018879280002323123,60.000182,68174709.47004794,1982,0.5271968895839096,0.72670070957621
6,1000,50,10000,bbr,3501719552,3501385672,9.534744146181127e-05,60.00008,466895317.7395764,0,0.7214319072559543,2.33484605474859
7,1000,50,10000,cubic,3567255552,3566400672,0.0002396464137593695,60.000078,475633455.27650815,0,0.9152254446420812,2.055520454363902
8,1000,50,1000,bbr,3512991744,3512991744,0.0,60.000081,468398266.86233974,483,0.7273650105849542,2.355583175884635
9,1000,50,1000,cubic,2635857920,2635589200,0.00010194783184671805,60.000076,351447277.50011516,1506,0.6566161227021604,1.8250270024169786
10,1000,50,100,bbr,3528327168,3527928128,0.00011309608803261637,60.000077,470443018.6647927,261,1.9286079725720666,2.4407507910338566
11,1000,50,100,cubic,979238912,976748400,0.002543313965039821,60.000086,130565001.12349838,2156,0.38930660624414454,0.9186896809887447
12,1000,5,10000,bbr,2669019136,2667827152,0.00044660002018059717,60.000079,355868749.5728131,0,0.5759057296976257,2.9895256193476154
13,1000,5,10000,cubic,4509401088,4509132368,5.9591062040387746e-05,60.000103,601252446.2499672,0,0.9952909837369075,3.121281011812085
14,1000,5,1000,bbr,6137184256,6135088056,0.0003415572862996017,60.000087,818290047.6127642,10679,1.0900189018336384,3.227489989604889
15,1000,5,1000,cubic,961150976,957549368,0.0037471823781407678,60.000086,128153279.780299,2528,0.2203878605756675,2.1671218538383017
16,1000,5,100,bbr,6428164096,6424923696,0.0005040941630622617,60.000075,857087474.7739898,363455,1.1246506381235155,2.105858981513246
17,1000,5,100,cubic,644087808,640812400,0.005085343891496235,60.000119,85878204.07489525,4960,0.17589477515844756,1.8378189637988558
18,100,200,10000,bbr,318373888,317666704,0.0022212374401759986,60.000124,42449764.00382106,0,0.4017039255510019,1.588640442650506
19,100,200,10000,cubic,388497408,388496848,1.4414510585357625e-06,60.00018,51799499.001503,0,0.4940594724937032,1.7762159509247957
20,100,200,1000,bbr,504496128,503579128,0.001817655179307937,60.000551,67265532.67819157,2810,0.5681235251450526,2.25094127275802
21,100,200,1000,cubic,164495360,162079520,0.01468637170069721,60.000225,21932632.4192951,2351,0.401181434712966,1.7487090143755606
22,100,200,100,bbr,529924096,528472360,0.0027395168684686494,60.000115,70656410.70854615,14240,0.5488814064034673,1.5778139925366534
23,100,200,100,cubic,19212064,16861960,0.1223243895085921,60.000734,2561577.196705627,399,0.3404204788784028,0.15505516048219076
24,100,50,10000,bbr,218759168,218182584,0.0026357021068940984,60.000153,29167814.68873921,0,0.1698584707641495,1.7984179629052675
25,100,50,10000,cubic,501874688,501874128,1.1158163848263254e-06,60.000119,66916492.348956846,0,0.23441809362242358,1.9516436275275046
26,100,50,1000,bbr,371195904,367917976,0.008830722442454537,60.000075,49492725.33409333,443,0.19966956948653508,2.3480799127700775
27,100,50,1000,cubic,349044736,346309472,0.00783642816489861,60.000098,46539222.11927054,133,0.1988634065468648,2.1235141367399883
28,100,50,100,bbr,675020800,672598896,0.0035878953655946602,60.000079,90002654.8298378,15209,0.26662537853612883,1.9216251416090586
29,100,50,100,cubic,28834024,27118144,0.05950886355647065,60.001035,3844470.216222103,415,0.0973846649583322,0.281824819494666
30,100,5,10000,bbr,84672512,83692824,0.011570319302679953,60.000099,11289649.638744762,0,0.06056992610119141,0.9089138353673464
31,100,5,10000,cubic,637927424,637927144,4.389214030717074e-07,60.0002,85056706.3443122,0,0.20165182087592334,2.0991064503840287
32,100,5,1000,bbr,256245760,253263888,0.011636766204443734,60.000206,34165984.0301215,893,0.11266831354836096,1.8276498667660335
33,100,5,1000,cubic,467927040,464444552,0.00744237392222514,60.000099,62390169.05622106,243,0.15107347117957315,2.1721985556644214
34,100,5,100,bbr,598302016,596964064,0.0022362485236887453,60.000111,79773454.5524424,12957,0.1949293445894607,1.9397614997454886
35,100,5,100,cubic,117960936,116879280,0.00916961187896983,60.000139,15728088.363261959,1061,0.0877955914170846,1.273977636250443
36,10,200,10000,bbr,21102592,19866560,0.058572520380434784,60.001048,2813629.7885996928,8,0.33709101440942385,0.28744443720897983
