,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu
0,1000,200,10000,bbr,869400576,869400576,0.0,60.000086,115919910.64812806,0,0.533285764075637,1.1207157505767962
1,1000,200,10000,cubic,896139264,895348376,0.000882550326463544,60.000132,119484972.33306086,0,0.7118351200741823,0.5296354103336396
2,1000,200,1000,bbr,857473024,857096264,0.00043938408492720114,60.000092,114329561.22800611,0,0.5281273030396534,1.1031422212837243
3,1000,200,1000,cubic,766902272,766901712,7.302103807041532e-07,60.000145,102253389.15430954,890,0.6697726201648846,0.8933173037135975
4,1000,200,100,bbr,776208384,775026536,0.0015225911293429162,60.000076,103494320.10719453,73,0.7401636368989085,1.5285788160687328
5,1000,200,100,cubic,456916992,455924944,0.0021711777354955536,60.000138,60922125.4791114,2883,0.5414725928265046,0.7143492285006737
6,1000,50,10000,bbr,3504734208,3504009368,0.00020681739526651145,60.000076,467297302.4900835,0,0.7439098961434397,2.3588165985386147
7,1000,50,10000,cubic,3570532352,3569678896,0.00023902766194568848,60.000086,476070297.89923966,0,0.8746920213739816,2.1114724512198766
8,1000,50,1000,bbr,3479830528,3479692128,3.977205179573619e-05,60.000085,463976746.43294257,974,0.717726866921233,2.3923672377573113
9,1000,50,1000,cubic,3077308416,3076453536,0.00027780120950996677,60.000075,410307275.915905,888,0.7800777481458998,1.7818782970034075
10,1000,50,100,bbr,3537502208,3536256648,0.0003521015470133666,60.000079,471666340.039319,106,0.765757473766433,2.442448639794433
11,1000,50,100,cubic,857473024,854679104,0.00325831824652247,60.00009,114329565.03898577,2194,0.3817095679778705,0.853920256035861
12,1000,5,10000,bbr,2662465536,2662051456,0.00015552501784571457,60.000072,354994978.8060254,0,0.5591251434974797,2.9564178811365087
13,1000,5,10000,cubic,4514775040,4514775040,0.0,60.000087,601969132.4780912,0,0.926521271324556,3.087520098722092
14,1000,5,1000,bbr,6109659136,6106781056,0.0004710704698796473,60.00008,814620131.9731574,9690,1.0502817362138923,3.496731927033761
15,1000,5,1000,cubic,990117888,987375272,0.0027699893449455587,60.000097,132015504.97493362,3682,0.23057020621281166,2.1373963603245016
16,1000,5,100,bbr,6441271296,6438216336,0.00047427904517810266,60.000097,858834784.350432,366345,1.200445894565142,1.9956291736634455
