,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu,bbr_ratio,cubic_ratio
301,20,5,10000,cubic,142082048,142082048,0.0,60.00057,18944093.097782236,0,0.05902043603215197,1.8155495617435642,,0.9693077333957372
547,50,5,20000,cubic,351141888,351141608,7.973984579134005e-07,60.000251,46818722.54167737,0,0.09776200677653084,1.878023450093486,,0.9656820853315077
549,50,5,50000,cubic,352321536,352320976,1.5894571940104167e-06,60.000157,46976081.87925241,0,0.0992648337782202,1.905737076386908,,0.9644780982805751
541,50,5,10000,cubic,350617600,350617320,7.985908294392524e-07,60.000279,46748795.95143216,0,0.33113454437832,1.8885164983573688,,0.9624312844819778
251,20,10,10000,cubic,141819904,141819344,3.948669997689464e-06,60.000192,18909260.023701258,0,0.1261014095300541,1.8704071369371984,,0.9617908757191231
499,50,10,50000,cubic,350355456,350354896,1.5983767068836513e-06,60.000146,46713947.12939532,0,0.3350048014506832,2.0518014401558657,,0.9611656084362247
307,20,5,20000,cubic,141295616,141295336,1.981660917207792e-06,60.000455,18839272.602182765,0,0.059707001016986644,1.8666924059190908,,0.9599232160216191
257,20,10,20000,cubic,141033472,141033192,1.9853443018122677e-06,60.00046,18804318.766889457,0,0.06357426365376855,1.8607315992168618,,0.9598611455374351
259,20,10,50000,cubic,141295616,141295336,1.981660917207792e-06,60.000291,18839324.0959448,0,0.06441032714410376,1.81531675195704,,0.958876261931571
309,20,5,50000,cubic,141295616,141295336,1.981660917207792e-06,60.000423,18839282.649723988,0,0.1658956895260663,1.7759295618434017,,0.9567139239016759
227,10,5,20000,cubic,72089600,72089320,3.884055397727272e-06,60.000549,9611858.718159396,0,0.038647676851774275,1.092810060516074,,0.9567055895563197
221,10,5,10000,cubic,72220672,72220392,3.877006295372051e-06,60.000509,9629341.244421776,0,0.039512475102692284,1.0999282653038094,,0.9559555780263046
497,50,10,20000,cubic,349437952,348988792,0.0012853784124742123,60.000078,46591666.36416706,0,0.10773629939319011,1.94425638015619,,0.9555560899517274
