,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu,bbr_ratio,cubic_ratio
82,100,100,1000,bbr,541196288,540025184,0.0021639172809699687,60.000135,72159342.70814557,1905,0.34625456000565547,2.39837049861718,0.7710559654582071,
54,1000,50,100,bbr,3528720384,3527734904,0.00027927404066028713,60.000069,470495510.1301633,1080,0.744205772382791,2.7318727490956416,0.7588365352341772,
404,500,100,100,bbr,1678114816,1677688544,0.0002540183758201203,60.000087,223748317.69827268,1146,1.8036511854422506,2.250157403697556,0.736058414184239,
322,250,100,1000,bbr,1266548736,1265715296,0.0006580402129902722,60.000077,168872948.07971665,2058,0.42697816736151484,2.4648764122116593,0.7319901413533892,
634,750,75,100,bbr,2313814016,2310078224,0.0016145601911679319,60.000269,308507152.326267,408,0.54168403125764,2.9386690862888436,0.7278681362509679,
424,500,150,100,bbr,1107689472,1107535704,0.00013881868870917644,60.00008,147691732.67768976,73,0.47733285660496777,2.0044475670724826,0.7247857114493749,
564,750,100,100,bbr,1734868992,1734868432,3.2279094420519794e-07,60.000096,231315495.49520722,410,0.9972517648305366,1.6485971904808112,0.7040426018102854,
4,1000,100,100,bbr,1766719488,1765940184,0.00044110228323920544,60.000088,235562252.90869573,45,0.621542424514941,1.4155703369378234,0.7034970040585967,
594,750,200,100,bbr,819068928,819068928,0.0,60.000124,109208964.70147295,260,0.5101759125031534,1.3446604394725643,0.701425706253824,
354,250,200,100,bbr,726007808,725803360,0.0002816057868071854,60.000096,96800886.18524878,257,0.995672481585708,1.9856226744993526,0.7007846750618411,
74,1000,75,100,bbr,2288386048,2287824832,0.00024524533371040724,60.000085,305117707.48324776,180,0.5657860315867808,2.8242168403492536,0.6966880052728558,
502,50,150,1000,bbr,245366784,243288552,0.008469899495442709,60.000097,32715518.309912067,847,0.34301509333075125,2.3255301622812623,0.6930785598504002,
434,500,200,100,bbr,751435776,751435776,0.0,60.00014,100191203.02052628,327,0.49487499009904634,1.762357361046491,0.6836393881845269,
214,10,50,100,bbr,49420240,48545648,0.01769704072663346,60.000532,6589306.908145415,128,0.10470774047436712,0.721358556008284,0.6770892757752062,
284,20,25,100,bbr,97197000,96478792,0.007389199255121043,60.000193,12959558.313420758,134,0.11565575737924197,1.325819728867388,0.6723872470713655,
24,1000,150,100,bbr,1127612416,1127611856,4.966245423108218e-07,60.000088,150348101.6227843,110,0.46778702378868114,1.7883648529303262,0.6715323467986606,
362,250,25,1000,bbr,1196556288,1194240896,0.001935046452240114,60.000081,159540623.02015892,666,0.30852490414284117,2.6161911076757383,0.6697234392932319,
584,750,150,100,bbr,1111752704,1111011936,0.0006663064522665644,60.00009,148233471.5164594,97,0.47235388953991,2.02538382283121,0.6550819186467292,
462,500,5,1000,bbr,2311192576,2309525248,0.0007214145706913174,60.000075,308158624.93505216,12146,0.480071015002719,3.1726125258191753,0.6457793405117248,
412,500,10,1000,bbr,2294677504,2291987072,0.001172466281344605,60.00009,305956541.598521,2389,0.478114367977398,3.076926255190967,0.6402735118858036,
34,1000,200,100,bbr,795869184,795653152,0.00027144159409996706,60.000088,106115735.56358784,100,0.4918425677481271,1.5411185687231952,0.6398317394636203,
612,750,50,1000,bbr,3245604864,3245140944,0.00014293791741125516,60.000083,432746716.5670421,929,0.669871598046544,2.4537093632707863,0.6215205206398035,
622,750,5,1000,bbr,3313106944,3309884736,0.0009725638364422202,60.000075,441747040.3495329,264,0.647334699891602,4.097359256964624,0.6152667065954235,
