,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu,bbr_ratio,cubic_ratio
313,20,75,1000,cubic,113770496,111255632,0.022104711576540897,60.000622,15169242.212189067,160,0.19966547803203813,1.4887718003565982,,0.7614029032159852
293,20,50,1000,cubic,113901568,111129656,0.024336030211629747,60.000209,15186822.832567133,113,0.1494434634991454,1.5907874108777567,,0.7589519345749579
187,10,150,20000,cubic,58064896,58006416,0.0010071489665632054,60.000089,7741974.64940427,0,0.27494689290953,0.8562856536548156,,0.7420458895163751
181,10,150,10000,cubic,56885248,56885248,0.0,60.001068,7584564.728081174,0,0.2744125373977093,0.843773725430899,,0.7418803291143085
241,20,100,10000,cubic,109707264,109706984,2.552246677120669e-06,60.000239,14627576.933485216,0,0.22420209859905765,1.4236248503532407,,0.7413666274722338
189,10,150,50000,cubic,56360960,56360680,4.967977834302326e-06,60.001046,7514663.661030176,0,0.270884139509886,0.8511476271414,,0.7401033343394252
557,50,75,20000,cubic,267911168,267911168,0.0,60.00035,35721280.6925293,0,0.2088336769729476,2.1374869008875277,,0.7397748297797735
279,20,200,50000,cubic,107741184,107740624,5.1976410431873475e-06,60.000392,14365397.346070673,0,0.3671083762594588,1.4460093389235846,,0.7339301010829341
559,50,75,50000,cubic,265027584,265027024,2.112987605093966e-06,60.000218,35336882.8093258,0,0.20498640784117994,2.044224634554209,,0.7315487423089585
551,50,75,10000,cubic,265027584,265027024,2.112987605093966e-06,60.000274,35336849.828385785,0,0.4076807056891625,2.021284486988499,,0.7312832673186458
277,20,200,20000,cubic,105512960,105512960,0.0,60.000896,14068184.581776913,0,0.47104094732297414,1.4374790344039834,,0.7245729029384533
261,20,150,10000,cubic,107347968,107347688,2.6083400106837607e-06,60.000126,14313032.34263208,0,0.28392445056910215,1.459740505416248,,0.7241392494558528
269,20,150,50000,cubic,106430464,106430184,2.6308257004310347e-06,60.000647,14190575.5116274,0,0.3825013025885044,1.5109312945877211,,0.7224208813266156
381,250,5,10000,cubic,1270218752,1269966520,0.00019857367056095863,60.00009,169362246.22329733,0,0.35718390793586313,2.41462657317009,,0.7060839305182642
389,250,5,50000,cubic,1265369088,1265368808,2.2127931103687592e-07,60.000083,168715645.0100244,0,0.310619931827157,2.3295301999038025,,0.7032854644371147
191,10,200,10000,cubic,52926464,52926464,0.0,60.001033,7056740.37311991,0,0.3627272147475167,0.7875334186944085,,0.7012836380330905
337,250,10,20000,cubic,1259208704,1259208144,4.447237365983137e-07,60.000109,167894188.85889024,0,0.5207353888194045,2.4066369441787536,,0.700371804911816
339,250,10,50000,cubic,1257635840,1257635280,4.4527993095362165e-07,60.000099,167684501.98723838,0,0.4669177178272317,2.500259367142179,,0.6994460849862609
387,250,5,20000,cubic,1256062976,1255985672,6.154468484229886e-05,60.00008,167474840.16687977,0,0.29776806239767367,2.3616289472241907,,0.6981641419474872
197,10,200,20000,cubic,53346304,53346304,0.0,60.001037,7112717.601864114,0,0.3922673252375065,0.7832808287888605,,0.6981113353951386
139,100,50,50000,cubic,501743616,501743336,5.580539364550679e-07,60.000254,66898865.59480232,0,0.21519803592819706,2.013045456254471,,0.6963792268670945
331,250,10,10000,cubic,1247412224,1247411664,4.489293829463066e-07,60.000101,166321349.89239433,0,0.7469164063837228,2.4068721925637333,,0.6938106283103628
367,250,25,20000,cubic,1238368256,1238051752,0.0002555814867399185,60.000087,165115528.049151,0,0.36257237121761743,2.291090476882263,,0.68913198471825
489,50,100,50000,cubic,249430016,249179232,0.001005428312204414,60.000118,33257270.060702212,0,0.4536340371659569,1.9975090301928522,,0.6889937972618893
199,10,200,50000,cubic,52822016,52822016,0.0,60.001032,7042814.3302601855,0,0.34966948130967823,0.807230909411169,,0.6888867421291066
137,100,50,20000,cubic,493223936,493223656,5.676934543582248e-07,60.000216,65762954.720029674,0,0.22489896572388274,2.1207314505217307,,0.685177981191166
131,100,50,10000,cubic,490471424,490471144,5.708793342463923e-07,60.000098,65396083.05306435,0,0.22448733108987748,2.101017435259628,,0.680982802074644
361,250,25,10000,cubic,1217265664,1217265384,2.3002373950145364e-07,60.000101,162301815.32527754,0,0.43942661467218214,2.4017728597258943,,0.677932706734192
481,50,100,10000,cubic,244711424,244711144,1.1442048573915373e-06,60.000146,32628110.47159785,0,0.24434517105014586,2.152412565541031,,0.6766949030078839
243,20,100,1000,cubic,100532224,98255488,0.022646828145371577,60.000764,13404125.854130792,103,0.20615488679460284,1.3627421724228468,,0.6751751425414712
501,50,150,10000,cubic,242089984,242089424,2.3131894626421224e-06,60.000277,32278515.51418671,0,0.3268432486511064,1.9573575753382195,,0.6750758778044782
487,50,100,20000,cubic,243269632,243269352,1.1509862439385776e-06,60.000276,32435801.72864538,0,0.4400080354548053,1.9908111822532049,,0.6729507207932884
509,50,150,50000,cubic,242352128,242175192,0.0007300781778157112,60.000116,32313554.593794454,0,0.32658790479423244,2.0442982246999293,,0.6721190310339274
543,50,5,1000,cubic,243924992,241388840,0.010397261794314213,60.000266,32523188.08053284,170,0.11838418450205809,2.330672169689021,,0.6679826970708949
