,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu,bbr_ratio,cubic_ratio
294,20,50,100,bbr,126262704,124509176,0.013887933209477281,60.000194,16834972.766921386,754,0.17573967884022176,1.5733465467545034,0.8749198105459531,
524,50,25,100,bbr,308613688,306469200,0.00694877798161694,60.000187,41148363.48760047,2714,0.17005715558987672,2.4874058001016364,0.8642925994638234,
244,20,100,100,bbr,124780544,122338624,0.01956971753545168,60.000638,16637228.957465418,826,0.25223518707430626,1.6104710638217383,0.8639428915253097,
62,1000,5,1000,bbr,6114902016,6112931328,0.00032227630055944954,60.000073,815319276.8282132,9470,1.077913590042594,3.7139556213985037,0.8612172783779902,
314,20,75,100,bbr,122335728,120199928,0.017458513836611983,60.000496,16311295.559956705,792,0.1849549632657925,1.5156135181203658,0.852800691622324,
144,100,5,100,bbr,603246936,601157472,0.0034636960012673816,60.000088,80432806.8318833,13083,0.2010516282701108,2.20028633963763,0.8425835045240442,
392,250,75,1000,bbr,1452670976,1452370448,0.00020687960657651358,60.000085,193689189.0736488,4269,0.3962779841031788,2.6988452235775844,0.8421095658079639,
334,250,10,100,bbr,1492910080,1489250624,0.0024512233181518874,60.000097,199054355.5287919,56571,0.34750622710813056,2.025373076952109,0.8416665270246475,
414,500,10,100,bbr,2976645120,2973475560,0.0010648094993601386,60.000086,396885447.130859,173932,0.6071645921529453,2.0554953242817953,0.8409243951233841,
82,100,100,1000,bbr,586285056,585048840,0.0021085579230591886,60.000126,78171176.64052905,5863,0.3448337460401642,2.6378353111745008,0.8381115924561002,
94,100,10,100,bbr,595061392,593006680,0.0034529412050983807,60.000115,79341366.86238018,10619,0.19792730527251035,2.1394296574950014,0.8350605217956002,
102,100,150,1000,bbr,566493184,563733120,0.004872192778227672,60.000129,75532262.13896973,6754,0.44326394585649864,2.267638775125268,0.8271769572501859,
194,10,200,100,bbr,60424192,57558000,0.04743451099850868,60.000808,8056450.439800744,501,0.347962708284062,0.8092658769323496,0.8268918937948074,
234,10,75,100,bbr,59615608,58435488,0.01979548711471667,60.000487,7948683.216521226,303,0.15254883393411195,0.8626079731551044,0.8263461136432373,
384,250,5,100,bbr,1465778176,1462391672,0.0023103796027592106,60.000092,195436790.46358794,67991,0.32371333371452926,2.2654627194168366,0.8238933826322257,
152,100,75,1000,bbr,580911104,579082744,0.003147400673546085,60.00009,77454697.68462014,1255,0.293908768386047,2.7317958403196276,0.8225694349187103,
614,750,50,100,bbr,3529637888,3528587528,0.00029758293437720485,60.000076,470617788.95080066,1623,0.7412410103936262,2.5738131269501934,0.8160303805946767,
344,250,150,100,bbr,1034027008,1033091320,0.0009048970604837432,60.000081,137870081.60872316,1917,0.6980339905575075,2.040381802139254,0.8107917350862043,
464,500,5,100,bbr,2872180736,2869067200,0.0010840320600214485,60.000087,382956876.1791962,238554,0.5835206874966876,2.188658864812582,0.8100311595918219,
42,1000,25,1000,bbr,5699272704,5699264624,1.4177247553585392e-06,60.000081,759902001.332298,2031,1.0189834590849745,4.2282821281723315,0.8084710911255241,
474,500,75,100,bbr,2244739072,2244738512,2.4947220235314727e-07,60.00009,299298093.98619235,2150,1.7484353609803125,2.7904289958510864,0.8077541925225142,
494,50,10,100,bbr,283570528,282784264,0.0027727282011478995,60.000121,37809327.4845229,2200,0.15666229989090166,2.326774444181856,0.7904717191529156,
452,500,50,1000,bbr,2748448768,2745200952,0.0011816905731749845,60.000076,366459371.5514627,2471,2.196087250085346,3.030014685870432,0.7901797932417816,
164,10,100,100,bbr,57384240,55818952,0.02727731516527883,60.000358,7651186.347921457,348,0.20934620583262248,0.7683294642367522,0.7841317873275611,
112,100,200,1000,bbr,510132224,509877752,0.0004988353764533017,60.000161,68017447.35318294,3274,0.8134439952987337,2.4334335502091062,0.7579355761446449,
634,750,75,100,bbr,2309750784,2309727336,1.0151744578864488e-05,60.000089,307966314.3833003,581,0.53911219588428,2.914305736809865,0.7556280609585394,
54,1000,50,100,bbr,3522166784,3521768024,0.00011321440024118971,60.000081,469621603.8775014,244,0.70353558920518,2.6087181985346555,0.7474202777053582,
322,250,100,1000,bbr,1290928128,1288306408,0.0020308799096830895,60.000117,172123414.7593412,3412,0.4011841806453446,2.5660328848373792,0.7469852293662315,
424,500,150,100,bbr,1123155968,1122350040,0.0007175566198834462,60.000075,149753941.87423933,97,0.47769309649561925,2.047355356494511,0.7243454116777006,
512,50,200,1000,bbr,249036800,248716616,0.0012856895045230262,60.000385,33204693.603216045,1458,0.40703055497937835,2.520036728847851,0.7137491017184987,
354,250,200,100,bbr,721027072,721027072,0.0,60.00015,96136702.59157686,1013,0.4756685394518717,1.7944263928536166,0.7060709105307553,
404,500,100,100,bbr,1689387008,1688672304,0.00042305522453739625,60.000081,225251296.97741574,977,1.7811984426717191,2.19880521166449,0.7048178831370129,
434,500,200,100,bbr,764018688,764018408,3.6648318214959686e-07,60.000119,101868956.35990322,119,1.1354867608721935,1.7001772632038397,0.6855228716505418,
284,20,25,100,bbr,98416216,97742896,0.006841555460738299,60.000214,13122115.331121985,126,0.10412038391533908,1.4657754853297251,0.6817079642863203,
362,250,25,1000,bbr,1210974208,1208170656,0.0023151211491368113,60.000083,161463004.37617728,1499,0.3271771178108332,2.9520530910097533,0.6778928925055092,
584,750,150,100,bbr,1102708736,1101512408,0.00108489935822908,60.000076,147027645.23164937,135,0.4771071674948472,2.156039977099304,0.6766126562992826,
564,750,100,100,bbr,1701576704,1699432264,0.001260266431104125,60.000102,226876508.17660278,138,1.86789358662425,2.236923725635388,0.6687274259037242,
214,10,50,100,bbr,48017128,47349600,0.013901872681764724,60.000374,6402243.826013484,99,0.10308338383989477,0.6260880707265265,0.6610127644329622,
74,1000,75,100,bbr,2308177920,2307958712,9.49701485750284e-05,60.000084,307756625.1407248,163,2.5699076229521083,2.9763853012820434,0.6588843230263419,
502,50,150,1000,bbr,229769216,227398888,0.010316125202777382,60.000084,30635852.576473057,643,0.361911821510628,2.649460596002355,0.6468664915097536,
4,1000,100,100,bbr,1736572928,1736081216,0.00028315079204090874,60.000082,231542740.62492114,127,1.8542687550586676,2.363857881473297,0.644187511888694,
462,500,5,1000,bbr,2282356736,2279574816,0.0012188804476181588,60.000084,304313805.427339,11925,0.4743896640882667,3.097046526127119,0.6375822078322343,
622,750,5,1000,bbr,3421372416,3418807640,0.0007496336815033234,60.000084,456182350.14470977,1663,0.596734636904597,3.96874730635315,0.6360535139339335,
34,1000,200,100,bbr,760086528,759088296,0.0013133136336814536,60.000077,101344740.34091657,89,0.486764129686469,1.7919580317938277,0.6345337786792352,
412,500,10,1000,bbr,2245656576,2243838176,0.0008097409102681959,60.0001,299420377.766037,650,0.4687946384487285,3.1703793034861545,0.6274674695244311,
24,1000,150,100,bbr,1115291648,1115291368,2.5105540824421203e-07,60.000102,148705300.2676562,130,0.47438114749526766,2.2002395367508663,0.6035181474970454,
594,750,200,100,bbr,731250688,730170200,0.0014775890371538359,60.000078,97499964.98337886,81,1.0959629426745712,1.96996593598112,0.6008619484900257,
