,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu,bbr_ratio,cubic_ratio
394,250,75,100,bbr,1299316736,1297987520,0.0010230115284222737,60.00008,173242000.4773327,60015,1.0042201967499265,1.4671791059737125,0.9799330940541906,
374,250,50,100,bbr,1624244224,1622391440,0.0011407053031946013,60.000076,216565622.21687853,88857,0.607717147661875,1.557266925931119,0.9791404464785818,
114,100,200,100,bbr,524681216,523413376,0.002416400590182363,60.000095,69957384.70080756,14447,0.5708143935889608,1.506170075069468,0.9726658459759706,
104,100,150,100,bbr,578158592,577082776,0.0018607627991456019,60.000122,77087655.5217671,15091,0.670080297494445,1.6056761873000165,0.9703136963018528,
364,250,25,100,bbr,1709047808,1706786560,0.0013231040052918168,60.000092,227872691.66187277,63079,0.42560236265507523,1.773645858473473,0.9700919694613015,
84,100,100,100,bbr,665845760,663536824,0.00346767395500123,60.0001,88779286.70118883,16871,0.3675838548392437,1.9132073608773976,0.96903729103565,
154,100,75,100,bbr,678035456,674718976,0.00489130763096849,60.000075,90404614.4608986,17191,0.3171784318268357,1.7627545658626473,0.9678033687714528,
442,500,25,1000,bbr,3217686528,3214912208,0.000862209533420404,60.000094,429024198.26208943,119922,1.3055041244673986,2.089439846190701,0.967258185180229,
514,50,200,100,bbr,327548928,326451328,0.0033509497549019606,60.000131,43673095.0470758,7600,0.495880529212469,2.158133476659289,0.9651666774760321,
484,50,100,100,bbr,338558976,336157544,0.00709309801315089,60.000198,45141047.83454215,6311,0.29990645648276176,2.2258464213373346,0.961702949907513,
504,50,150,100,bbr,330563584,328501968,0.006236670038040246,60.000209,44074991.005448,6836,0.377549249903819,2.1505923181605615,0.9614360890519981,
134,100,50,100,bbr,676331520,673236016,0.004576903350593508,60.000079,90177417.2664006,15542,0.297399531875506,2.1218942627018973,0.9586679872854643,
12,1000,10,1000,bbr,6691225600,6688914920,0.0003453298600483595,60.000072,892162342.738522,339900,1.3204763480824213,3.209259921882274,0.9556703810492304,
454,500,50,100,bbr,2859859968,2859855456,1.5776996253265502e-06,60.000136,381313798.0887244,15568,0.7413604826041417,2.74536804778361,0.9517974495193157,
604,750,25,100,bbr,4023779328,4023779048,6.958632101208508e-08,60.000091,536503096.7036367,309411,2.559780538184533,1.73656035522408,0.9517890026470842,
44,1000,25,100,bbr,5981995008,5980017368,0.00033059873793863254,60.000079,797598284.228926,30144,2.2083587778041887,3.9292063345193964,0.9467100929750177,
554,50,75,100,bbr,331481088,328565680,0.008795096026715105,60.000124,44197387.0587334,5390,0.2577046817776688,2.29362870855258,0.9393803774821136,
14,1000,10,100,bbr,6517293056,6514100056,0.000489927332185935,60.00007,868971393.6667074,318822,1.032865748305068,2.95083786575651,0.9360152192542963,
324,250,100,100,bbr,1333133312,1332835912,0.00022308346608924885,60.000153,177750655.00249642,12759,0.43045150621024614,2.0809836839526152,0.9359537500742904,
602,750,25,1000,bbr,4575592448,4575206488,8.435191822398951e-05,60.000085,610078128.7893176,21333,1.865953981918051,2.4958730085857783,0.924815217103346,
264,20,150,100,bbr,131334144,128938608,0.018240009239333832,60.000546,17511059.84935537,1127,0.334491162393999,1.6316290451869009,0.912301455830896,
124,100,25,100,bbr,646184960,643827136,0.0036488376331135905,60.000168,86157753.42495707,7504,0.23129196804906366,2.31968886451588,0.9109116718434661,
444,500,25,100,bbr,3083206656,3080869920,0.000757891461946818,60.000074,411093713.78441966,190111,0.984312728549718,1.6078152535319343,0.9092772993667587,
534,50,50,100,bbr,324009984,321041872,0.009160557225298342,60.00018,43201201.5963952,2700,0.217265606768238,2.596106428151433,0.9083320175874094,
64,1000,5,100,bbr,6394085376,6391887576,0.00034372390588486255,60.000078,852543608.493309,354060,0.942116066960066,1.7551824453924547,0.9066629706962847,
574,750,10,100,bbr,4714659840,4711684120,0.0006311632442182721,60.000073,628620547.1783342,233799,0.7753931186617156,1.561905570655004,0.8897519982118236,
572,750,10,1000,bbr,4708499456,4707346256,0.000244918792234432,60.000084,627799048.5479987,53164,0.8050001268292454,2.8354208548098248,0.8875135966186617,
624,750,5,100,bbr,4679663616,4677296296,0.0005058739675018555,60.000072,623954400.05472,249918,0.8128420249799786,1.618503375167852,0.8816208799381563,
392,250,75,1000,bbr,1503657984,1502793624,0.0005748381674539095,60.000076,200487477.2491955,6344,0.3890737373825985,2.5596675378554834,0.8788787647191002,
274,20,200,100,bbr,123600896,121265656,0.018893390546295068,60.000289,16480040.08780691,1847,0.4131863661212607,1.5406840510035353,0.8784147293426078,
244,20,100,100,bbr,126222336,123116200,0.024608449648721442,60.000317,16829555.883846413,891,0.2551425557210882,1.607129097207352,0.872914865027933,
524,50,25,100,bbr,311660280,309514344,0.006885497247194927,60.000075,41554652.056684926,2650,0.16649063048241236,2.5621112981626317,0.8717462679546433,
294,20,50,100,bbr,124924752,123460824,0.011718478336462897,60.000324,16656543.654664265,595,0.1740419437496491,1.6591717922235067,0.8672598016196847,
62,1000,5,1000,bbr,6154223616,6151851736,0.0003854068600681799,60.000073,820562150.4493836,7749,1.0720581229434554,3.3567171694272244,0.866611343846053,
194,10,200,100,bbr,61865984,59195688,0.04316258834580244,60.00056,8248720.878605133,690,0.34624495688874224,0.8596209854812787,0.8488987326427679,
102,100,150,1000,bbr,572784640,571543384,0.0021670553176844965,60.000056,76371214.05353355,6242,0.4584306624200633,2.403477231342309,0.8431420651756947,
414,500,10,100,bbr,2977038336,2974622056,0.0008116388595944504,60.000099,396937789.85264677,172874,0.7108735730989167,2.06544287641362,0.8410042420439651,
314,20,75,100,bbr,120717312,118510112,0.018284038663816504,60.000514,16095503.71518484,678,0.18497953199190062,1.5651083041102187,0.8386464542769332,
144,100,5,100,bbr,598136944,596846776,0.0021569776168181313,60.000081,79751484.86882876,12416,0.2390855390485721,2.1311752218215476,0.8349699932401028,
372,250,50,1000,bbr,1460011008,1458570208,0.0009868418745511266,60.000076,194667887.82067543,6779,0.47021686861302275,2.67492977801102,0.8318917026494925,
164,10,100,100,bbr,60540880,58910432,0.02693135613489596,60.000399,8072063.654110033,421,0.18937827411275085,0.8585210810105737,0.8301251811520945,
614,750,50,100,bbr,3503423488,3503024448,0.00011390001847244566,60.000083,467122485.54722834,1075,0.7248972942013665,2.424789673466189,0.8300931865069687,
334,250,10,100,bbr,1473380352,1470132680,0.002204231918520928,60.000082,196450445.117725,54439,0.3457240030334627,1.9504341559570155,0.8290437067065277,
384,250,5,100,bbr,1464729600,1461459160,0.002232794366960291,60.000079,195297022.85891992,68448,0.299914300203465,2.090489744986288,0.8233903414567094,
94,100,10,100,bbr,586244520,584149264,0.003574030849789436,60.000128,78165769.24635895,10500,0.2132871107997394,2.293680699834354,0.821290626744554,
82,100,100,1000,bbr,573177856,571708184,0.002564076725252973,60.000126,76423553.6438707,2953,0.3356998950518756,2.6227082969391518,0.8195288133429971,
344,250,150,100,bbr,1031405568,1030404720,0.0009703728882720168,60.000089,137520538.41120136,4397,0.9630368899762947,1.9841151420861354,0.8145962707747761,
184,10,150,100,bbr,59701040,56673272,0.05071549842347805,60.000288,7960100.458184468,464,0.29562776313595257,0.843836894180299,0.8131206650276416,
152,100,75,1000,bbr,573177856,571308512,0.0032613681432940773,60.000135,76423542.18036343,959,0.28702093161465153,2.6435655094672366,0.8119205683042419,
474,500,75,100,bbr,2219442176,2218425400,0.00045812232055195476,60.000082,295925219.035534,3250,1.1186221417212032,2.6489891389158173,0.8100365849291236,
