,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu
21,100,200,100,cubic,16253800,14466968,0.10993318485523386,60.00104,2167135.76964666,444,0.34101819235704867,0.14881660001263958
22,100,200,50000,bbr,322699264,322149352,0.0017041005708646425,60.000171,43026445.9079625,0,0.4010931089372779,1.5058041477802617
23,100,200,50000,cubic,384434176,384433896,7.283431533412888e-07,60.00017,51257744.9030561,0,0.4472418329922065,1.8000402304640326
24,100,50,10000,bbr,218759168,218758888,1.2799463563511085e-06,60.00035,29167718.921639625,0,0.129928043328417,1.8759048875729842
25,100,50,10000,cubic,500957184,500954008,6.339863168825222e-06,60.000147,66794127.5543875,0,0.223749212980029,1.9509902055365533
26,100,50,100,bbr,672661504,670279200,0.0035416089457083006,60.000109,89688037.60006502,14515,0.2551434536593294,1.8771704905044189
27,100,50,100,cubic,31831384,29699928,0.06696083337124141,60.000616,4244140.960152809,330,0.0960170849416328,0.31564698565188143
28,100,50,50000,bbr,218234880,217639472,0.0027282898132507507,60.000076,29097947.142600287,0,0.2974319998102399,2.0796694282735437
29,100,50,50000,cubic,501874688,501874408,5.579081924131627e-07,60.000186,66916417.62577203,0,0.63679443943351,2.0434266188788146
30,100,5,10000,bbr,91619328,91308616,0.003391336814869456,60.00022,12215865.60849277,0,0.07359386559176394,0.9209991081614815
31,100,5,10000,cubic,630718464,630717904,8.8787633780133e-07,60.000196,84095520.4879664,0,0.636939809930199,1.9092014273155364
32,100,5,100,bbr,603539432,601988624,0.0025695222511989903,60.000081,80471815.62971556,13003,0.19605722646467333,1.8555072831987776
33,100,5,100,cubic,112962824,111513376,0.012831194800866523,60.000285,15061638.323884629,1312,0.08695696215995143,1.1949586519088233
34,100,5,50000,bbr,77201408,75736920,0.01896970583748939,60.000073,10293508.54289794,0,0.026770538399378378,0.82266197011925
35,100,5,50000,cubic,646184960,646184400,8.66624936612576e-07,60.000174,86157744.80920672,0,0.1745493002017046,1.8425494643562468
36,10,200,10000,bbr,25034752,22099376,0.11725205026996073,60.000107,3337960.980636251,0,0.3390773277716527,0.2916969884030486
37,10,200,10000,cubic,52166656,52166656,0.0,60.000998,6955438.44120726,0,0.3635480071138962,0.6937475850997166
38,10,200,100,bbr,60424192,57770856,0.043911815982578636,60.00083,8056447.48580978,439,0.3461924471934691,0.6712342294652585
39,10,200,100,cubic,12389088,11414584,0.07865825151940159,60.001039,1651849.7954677085,147,0.3385400717202486,0.15241078320986648
40,10,200,50000,bbr,22544384,20972832,0.06970924554869186,60.001038,3005865.865187199,0,0.339496211003283,0.291451745268267
41,10,200,50000,cubic,52822016,52822016,0.0,60.001068,7042810.104646805,0,0.3549333940921282,0.6322684098855423
42,10,50,10000,bbr,9826128,6133728,0.3757736516357206,60.00107,1310127.0360678567,0,0.0911951954074909,0.1210155123247346
43,10,50,10000,cubic,68419584,68419024,8.184791068007662e-06,60.000319,9122562.698374987,0,0.15521503807512488,0.9168745826170456
44,10,50,100,bbr,49333360,48470352,0.017493395949515704,60.000157,6577764.121517215,105,0.1042820228406865,0.6491284285046236
45,10,50,100,cubic,23616880,22952248,0.028142244022072348,60.000112,3148911.4553652834,93,0.09726525904709347,0.325207734590586
46,10,50,50000,bbr,8504104,5222936,0.38583347522560874,60.001038,1133860.91753946,0,0.09175680698802834,0.09560614088962342
47,10,50,50000,cubic,69599232,69563920,0.0005073619203154426,60.000081,9279885.07215515,0,0.10861106011610384,0.8819228433307298
48,10,5,10000,bbr,3805344,2379064,0.3748097412480974,60.00103,507370.4901399193,0,0.047679140751498345,0.056069031426863765
49,10,5,10000,cubic,71827456,71827176,3.898230782390511e-06,60.000721,9576879.05117007,0,0.036211587831393714,1.0365532710090073
50,10,5,100,bbr,34799784,33652968,0.03295468730495569,60.000177,4639957.51212534,351,0.027261651190380175,0.4396042227026889
51,10,5,100,cubic,38571824,38162040,0.010623920714768377,60.000227,5142890.40939795,106,0.03265824575304938,0.561718377005673
52,10,5,50000,bbr,3132024,2115528,0.3245492371705964,60.001035,417595.9964690609,0,0.01471794117028658,0.049060613750037035
53,10,5,50000,cubic,71958528,71958248,3.891130179872496e-06,60.000851,9594334.320358224,0,0.04594500853807104,0.9481842557564167
