,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu
0,1000,200,10000,bbr,866254848,865943248,0.0003597093865845816,60.000091,115500471.22428532,0,1.1387459072027426,1.082652286141996
1,1000,200,10000,cubic,896794624,896490264,0.00033938651264706955,60.000149,119572319.59540634,0,0.5661659789877252,0.4647229492755395
2,1000,200,100,bbr,875036672,874773184,0.0003011165228055722,60.000133,116671297.64529023,14,0.5047654465848027,1.020553714638147
3,1000,200,100,cubic,314572800,313180352,0.004426472981770833,60.000209,41942893.8989196,2007,0.4977648835075047,0.641432753580139
4,1000,200,50000,bbr,873201664,872933832,0.00030672410628846444,60.000104,116426686.72707634,0,1.0779108953285763,1.0318542431380355
5,1000,200,50000,cubic,896008192,896007912,3.124971428832651e-07,60.000148,119467464.24692152,0,0.5435186717020813,0.5051702400154152
6,1000,50,10000,bbr,3522166784,3521311624,0.0002427937268288088,60.000083,469621588.2234697,0,0.687813507762847,2.3530339024544222
7,1000,50,10000,cubic,3567648768,3567184568,0.00013011370518410851,60.000105,475685669.9500776,0,0.8108415588860395,2.1652318852543
8,1000,50,100,bbr,3531866112,3531597952,7.592586793958286e-05,60.000076,470914885.1078122,241,0.653401783145263,2.4967112951348147
9,1000,50,100,cubic,1093926912,1091780416,0.001962193247513779,60.000133,145856598.28454047,2034,0.4281630609874107,0.9677737475265733
10,1000,50,50000,bbr,3519152128,3518687928,0.00013190677274409662,60.000074,469219705.0290305,0,0.659491307511121,2.2509172664709807
11,1000,50,50000,cubic,3567779840,3566990120,0.00022134773876630236,60.000078,475703360.2522983,0,0.6712571594185797,2.091248202566742
12,1000,5,10000,bbr,2671640576,2670390112,0.0004680509838161703,60.000062,356218375.3743454,0,0.548373465555194,2.8015733712576645
13,1000,5,10000,cubic,4506779648,4506576368,4.5105378091917756e-05,60.000082,600903131.8323865,0,0.8130461518817195,2.90275569098256
14,1000,5,100,bbr,6387531776,6385110936,0.0003789945921045544,60.000097,851669526.600932,358875,1.0574950298873191,1.991699300317984
15,1000,5,100,cubic,665059328,661281328,0.0056806962039933975,60.000084,88674452.92243257,5552,0.17938473845380581,1.825608044946987
16,1000,5,50000,bbr,2659844096,2659371208,0.00017778786384929532,60.000047,354645601.66094536,0,0.5070732293734803,3.0087252086830034
